,beta,gammam,gammamRNA,gammad,alphaass,alphadiss,phi0,f1,f2,f3,f12,f13,f23,f123,kb1,kb2,kb3,ku1,ku2,ku3,bcoop12,bcoop13,bcoop23,bcoop123,ucoop12,ucoop13,ucoop23,ucoop123,DNAtot,taum,taumRNA,period,DNA0_min,DNA0_max,DNA1_min,DNA1_max,DNA2_min,DNA2_max,DNA3_min,DNA3_max,DNA12_min,DNA12_max,DNA23_min,DNA23_max,DNA13_min,DNA13_max,DNA123_min,DNA123_max,mRNA_min,mRNA_max,m_min,m_max,d_min,d_max,selected,monotonicity_type
23,5.245,0.8814,2.695,0.02265,0.01582,31.18,7.389,0.2732,0.3839,75.71,0.0816,0.305,0.001791,0.007225,0.001891,0.00215,0.003057,0.06176,7.37,0.1494,2.66,1.088,0.1858,0.3272,0.6489,0.1377,0.0885,0.1055,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,FALSE,1
24,17.61,0.6967,1.763,0.005483,0.05589,850,2.749,0.02816,66.62,84.12,14.84,1.331,0.1754,0.01404,0.001375,0.08964,0.00408,0.04491,307.4,0.1994,0.3292,1.521,0.455,0.2457,0.08029,0.1926,0.2167,0.07925,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,FALSE,1
25,13.85,0.605,2.548,0.01015,0.0467,11.55,0.688,0.3709,0.00136,94.79,0.0207,0.004023,38.92,0.008372,0.001854,0.001935,0.2346,0.06054,6.633,11.47,14.72,3.119,0.1183,0.463,3.591,0.3948,0.05632,0.1494,1,0,0,97.7,0.0868,0.951,0.02803,0.03077,3.39E-05,0.003858,0.001944,0.3363,2.53E-05,0.004068,1.24E-06,0.003136,0.003421,0.5484,1.21E-05,0.2017,0.2507,8.632,5.998,134.9,0.1473,73.51,TRUE,1
26,2.516,0.7326,0.2799,0.002419,0.1016,9.063,0.2847,0.1267,0.09856,81.46,1.137,2.281,0.1527,0.1094,0.002063,0.007645,0.03038,0.06735,26.21,1.485,0.6656,0.4355,13.99,13.42,0.1623,0.05513,6.66,4.33,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,FALSE,1
27,73.34,0.3232,6.847,0.002347,0.01801,31.13,0.6739,0.7732,1.482,61.49,0.05245,0.07004,56.34,0.003643,0.001998,0.00215,11.06,0.06525,7.373,540.8,0.4047,2.979,0.2362,0.6683,0.09872,0.377,0.1125,0.2156,1,0,0,70.3,0.1387,0.8595,0.04549,0.3522,0.0002009,0.003826,0.01404,0.2848,0.000151,0.007409,8.17E-06,0.007741,0.02213,0.604,0.0002071,0.05664,0.173,1.799,40.19,305.1,0.9349,53.83,TRUE,1
28,0.7262,0.3655,0.4901,0.001616,0.02687,50.27,4.528,0.349,4.134,63.9,0.002197,0.015,5.932,0.2697,0.002289,0.09275,11.07,0.07474,318,541,2.975,3.572,0.6018,9.283,0.7256,0.4522,0.2866,2.995,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,FALSE,1
29,3.347,0.3918,2.417,0.03374,0.5027,417.8,5.636,0.1674,0.9499,74.33,0.09309,0.53,6.186,0.00161,0.001711,0.01523,0.2033,0.05588,52.22,9.938,4.255,0.7788,0.1061,2.042,1.038,0.09858,0.05053,0.6589,1,0,0,51.2,0.05413,0.6418,0.01839,0.4487,0.00019,0.004643,0.01333,0.327,0.0005476,0.004205,1.19E-05,0.01372,0.07432,0.5941,0.0007947,0.3554,3.682,57.17,32.78,317.7,1.293,121.4,FALSE,1
30,52.04,0.5706,1.432,0.000571,0.03896,16.09,0.2104,0.03258,24.96,37.21,0.02459,0.332,1.091,0.001957,0.001814,0.0531,1.114,0.05923,182.1,54.46,0.3605,3.314,0.5303,17.38,0.08792,0.4194,0.2525,5.608,1,0,0,100.2,0.308,0.9077,0.04777,0.3321,9.65E-05,0.00297,0.006773,0.2081,8.51E-05,0.002839,1.87E-06,0.003063,0.01151,0.3818,5.31E-05,0.06836,0.1448,1.221,13.56,103.6,0.4461,25.96,TRUE,1
31,0.31,0.2604,0.5932,0.0436,0.7133,237,5.644,31.5,0.1123,0.04103,0.1155,0.002209,0.005819,0.04744,24.58,0.02609,0.001039,802.7,89.46,0.05079,9.967,0.4177,3.183,5.126,2.431,0.05288,1.516,1.653,1,0,0,165.8,0.2885,0.8939,0.02469,0.3162,0.0002352,0.003009,0.0312,0.2182,2.89E-05,0.01077,4.33E-05,4.33E-05,0.01709,0.374,0.0001632,0.07164,15.15,98.1,17.99,100,0.9742,30.1,FALSE,1
32,7.067,0.616,0.4529,0.01657,0.03798,465.3,1.534,61.3,0.003621,0.03952,2.786,0.001416,0.1066,0.004124,10.99,0.1637,0.001471,359,561.2,0.07191,2.187,1.696,1.282,15.27,0.5333,0.2147,0.6105,4.925,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,FALSE,1
