,beta,gammam,gammamRNA,gammad,alphaass,alphadiss,phi0,f1,f2,f12,kb1,ku1,kb2,ku2,bcoop,ucoop,DNAtot,taum,taumRNA,period,DNA0_min,DNA0_max,DNA1_min,DNA1_max,DNA2_min,DNA2_max,DNA12_min,DNA12_max,mRNA_min,mRNA_max,m_min,m_max,d_min,d_max,selected,monotonicity_type
1919,0.1767,0.2706,0.07499,0.01787,0.0364,229.4,0.6416,50.81,0.002762,0.07564,6.487,0.3375,0.04267,0.013430000000000001,11.31,0.051660000000000005,1,0,0,234.8,0.019219999999999998,0.2625,0.004722,0.1562,0.001115,0.1278,0.6576,0.9421,3.9019999999999997,54.28,2.593,34.4,0.0010869999999999999,0.1877,False,0.0
1920,11.4,0.1729,0.1113,0.00785,0.1628,20.83,0.04045,0.0015480000000000001,43.96,0.002254,0.009528,0.01105,67.84,257.8,4.704,0.1037,1,0,0,87.7,0.01938,0.04364,0.009759,0.01871,0.02974,0.06845,0.8793,0.9359999999999999,0.1738,0.2948,11.75,18.34,1.079,2.628,False,0.0
1921,0.04807,0.47,0.1073,0.018090000000000002,0.2184,24.7,1.64,33.03,73.4,0.2148,0.002049,0.02914,19.49,53.29,14.38,0.06,1,0,0,209.3,0.1692,0.35,0.022680000000000002,0.115,0.005074,0.033639999999999996,0.5811,0.7533,49.27,132.1,5.041,13.3,0.2247,1.5619999999999998,False,1.0
1922,77.54,0.1963,6.401,0.004765999999999999,0.03884,181.0,1.854,79.85,0.001036,0.01581,3.125,588.0,0.002571,0.01857,19.56,1.045,1,0,0,70.6,0.2365,0.5506,0.003393,0.03011,0.2372,0.528,0.06892000000000001,0.4398,0.195,0.8104,82.82,279.5,1.472,16.76,False,1.0
1923,0.1181,0.9448,0.3945,0.01659,0.02146,16.69,4.588,0.02535,12.32,0.0016420000000000002,0.08286,0.02012,45.44,1.87,1.778,0.06047,1,0,0,180.4,0.2652,0.5408,0.07325,0.3303,0.01105,0.07701000000000001,0.3066,0.4384,16.59,50.34,2.081,6.275,0.005742000000000001,0.05033,False,0.0
1924,69.13,0.09022999999999999,4.275,0.001111,0.013919999999999998,78.96,0.2858,0.0022329999999999997,41.14,6.3839999999999995,0.001416,0.011340000000000001,1.5390000000000001,74.57,2.002,8.9,1,0,0,411.4,0.5445,0.8331,0.01305,0.07794,0.1434,0.3797,0.0007064,0.01112,0.08744,0.2574,67.93,194.4,0.8136,6.664,False,0.0
1925,1.425,0.3587,1.955,0.0014140000000000001,0.08772,96.38,2.407,1.693,94.88,0.0012619999999999999,0.002018,0.06912,2.91,38.09,0.7825,0.05694,1,0,0,,,,,,,,,,,,,,,,False,1.0
1926,73.89,0.8804,2.971,0.01486,0.02061,0.9191,0.07906,34.59,0.002045,0.09059,1.7180000000000002,7.643,0.01253,0.01565,5.761,2.8810000000000002,1,0,0,72.3,0.1253,0.6079,0.007193000000000001,0.2324,0.1797,0.5747,0.014830000000000001,0.5007,0.0188,0.2211,1.611,15.86,0.0671,5.22,False,1.0
1927,16.33,0.3711,2.722,0.030019999999999998,0.04652,228.3,0.1023,16.98,0.003878,0.01094,58.46,0.8575,3.1630000000000003,0.01856,0.1314,0.06859,1,0,0,124.6,0.2927,0.6657,0.02336,0.2675,0.2165,0.3342,0.03731,0.2674,0.03621,0.1831,1.655,7.837000000000001,0.0005925,0.01245,False,0.0
1928,2.38,0.3928,2.254,0.06726,0.026119999999999997,571.3,7.055,42.85,1.385,0.01925,3.293,6.0089999999999995,0.02547,0.043,2.721,0.1549,1,0,0,81.6,0.1586,0.7815,0.009156999999999998,0.3383,0.01756,0.395,0.07875,0.6496,4.343999999999999,46.09,27.04,245.7,0.033460000000000004,2.76,False,1.0
1929,19.36,0.545,0.40700000000000003,0.002574,0.239,20.47,0.1372,0.1039,29.03,0.00321,0.06822,0.01211,39.88,121.5,14.19,0.4032,1,0,0,38.4,0.06935,0.1353,0.005727,0.01733,0.1188,0.307,0.5722,0.7881,0.1014,0.2043,3.721,6.99,0.162,0.5698,False,0.0
1930,1.375,0.8145,5.103,0.005358,0.1833,17.71,9.908999999999999,30.23,0.03344,0.0038420000000000004,7.437,7.541,0.2271,0.01707,0.1263,14.03,1,0,0,36.9,0.057879999999999994,0.3074,0.008149,0.1651,0.6602,0.8503,0.0002109,0.01567,1.002,9.911,1.758,14.75,0.03255,2.252,False,1.0
1931,0.06319,0.237,0.293,0.001006,0.014669999999999999,0.741,1.39,2.617,30.13,0.08217999999999999,0.009025,0.0109,6.381,5.221,11.6,0.07326,1,0,0,298.4,0.2472,0.3967,0.015609999999999999,0.08653,0.01256,0.07695,0.5301,0.6756,4.938,14.07,1.3419999999999999,3.681,0.03851,0.2621,False,0.0
1932,0.193,0.8004,1.5730000000000002,0.0053,0.8354,94.4,6.024,37.68,0.006677,0.1989,10.35,4.508,0.2527,0.01023,0.2754,7.317,1,0,0,131.1,0.1287,0.6443,0.001029,0.2887,0.3298,0.7212,7.28e-05,0.04004,1.4469999999999998,41.99,0.3727,9.519,0.001299,0.8016,False,1.0
1933,5.347,0.8545,6.852,0.004887,0.1135,0.5879,0.3373,0.0136,41.36,0.7585,0.002147,0.01573,0.07482,0.2983,0.1369,0.059770000000000004,1,0,0,,,,,,,,,,,,,,,,False,1.0
1934,2.298,0.3818,0.8059999999999999,0.003242,0.046419999999999996,8.999,1.7269999999999999,41.03,0.1477,0.01324,0.09224,1.9080000000000001,0.01185,0.013009999999999999,2.787,0.9449,1,0,0,75.0,0.1708,0.4119,0.007678,0.05786,0.4067,0.6577,0.04073,0.3302,1.55,5.75,9.549,32.48,0.47100000000000003,5.436,False,1.0
1935,0.02574,0.7601,0.1373,0.001038,0.1176,6.045,2.886,53.26,0.0063170000000000006,19.23,4.375,5.14,0.046239999999999996,0.010440000000000001,0.9098,6.827999999999999,1,0,0,279.1,0.0921,0.8101,0.004154,0.3051,0.163,0.6889,0.0003128,0.1463,17.79,328.4,0.6126,10.92,0.007904000000000001,2.315,False,0.0
1936,2.63,0.2005,0.7175,0.006324000000000001,0.039310000000000005,79.76,1.858,0.1709,20.44,0.006173,0.001927,0.02072,1.869,5.8,14.06,0.09422,1,0,0,106.4,0.07396,0.3058,0.005162,0.1456,0.003815,0.1721,0.5908,0.8559,0.8544,7.984,12.1,92.97,0.07228,4.2589999999999995,False,1.0
1937,8.851,0.3361,1.055,0.00274,0.02197,175.3,6.946000000000001,77.0,0.0365,6.598,0.1223,10.17,0.02022,0.01445,0.06292,3.9930000000000003,1,0,0,51.7,0.1664,0.3007,0.002559,0.01257,0.6933,0.8257,0.00011999999999999999,0.0007808,3.031,8.001,82.68,202.8,0.8567,5.152,False,2.0
