,beta,gammam,gammamRNA,gammad,alphaass,alphadiss,phi0,f1,f2,f3,f12,f13,f23,f123,kb1,kb2,kb3,ku1,ku2,ku3,bcoop12,bcoop13,bcoop23,bcoop123,ucoop12,ucoop13,ucoop23,ucoop123,DNAtot,taum,taumRNA
24,4.61E+00,3.43E-01,2.45E+00,2.67E-02,2.78E-02,5.76E-01,3.66E+00,1.58E-03,1.10E-01,1.73E-03,1.98E+00,3.25E-02,3.88E+00,1.24E+01,8.69E-02,5.64E-03,1.15E-03,2.84E+00,1.93E+01,5.61E-02,1.26E+00,1.94E+00,6.74E+00,2.01E+00,3.07E-01,2.46E-01,3.21E+00,6.49E-01,1.00E+00,0.00E+00,0.00E+00
25,4.56E-01,6.79E-01,3.59E-03,1.41E-03,2.58E-01,4.43E-01,1.27E-02,8.35E-01,1.26E-01,4.07E+00,3.40E+00,5.08E-03,4.97E-01,1.72E+01,6.38E+00,1.56E-02,3.51E-01,2.08E+02,5.35E+01,1.72E+01,6.37E-01,9.28E+00,1.49E+01,1.34E+00,1.55E-01,1.18E+00,7.08E+00,4.32E-01,1.00E+00,0.00E+00,0.00E+00
26,3.06E+00,7.67E-03,9.89E+00,5.34E-02,2.65E-02,8.15E+02,5.03E+00,2.58E-01,1.02E-01,2.61E-02,5.26E-03,6.85E-01,3.74E-02,7.23E+01,3.41E-02,3.04E-03,3.88E+00,1.11E+00,1.04E+01,1.90E+02,4.90E-01,1.47E+00,2.42E+00,5.74E+00,1.19E-01,1.86E-01,1.15E+00,1.85E+00,1.00E+00,0.00E+00,0.00E+00
27,6.66E+00,1.89E-01,2.82E-01,1.74E-03,7.35E-01,2.92E+01,3.52E-02,2.38E-02,9.15E-01,8.34E-03,2.17E-02,7.08E-03,2.02E+01,4.52E+01,2.14E+01,2.07E-01,6.60E+00,6.97E+02,7.11E+02,3.23E+02,1.41E+00,5.71E+00,6.72E-01,5.93E-01,3.44E-01,7.23E-01,3.20E-01,1.91E-01,1.00E+00,0.00E+00,0.00E+00
28,2.31E-01,3.40E-01,2.35E-03,3.91E-02,1.10E-02,1.99E+01,2.02E-01,1.42E-03,3.14E-01,1.24E-03,5.24E-03,6.64E-02,2.66E-02,2.30E+01,6.74E+00,2.11E-03,8.51E+00,2.20E+02,7.24E+00,4.16E+02,1.88E+01,4.53E-01,3.64E+00,2.50E-01,4.57E+00,5.73E-02,1.73E+00,8.07E-02,1.00E+00,0.00E+00,0.00E+00
29,7.90E+00,2.61E-01,8.93E-02,2.24E-03,1.16E-02,6.42E+00,4.18E-02,8.26E-03,1.75E+00,4.22E-02,1.16E-01,1.41E-03,8.76E+00,4.82E+01,2.81E-03,1.87E-01,1.71E-02,9.18E-02,6.42E+02,8.37E-01,4.34E-01,7.38E-01,1.09E+01,3.18E+00,1.06E-01,9.34E-02,5.19E+00,1.03E+00,1.00E+00,0.00E+00,0.00E+00
30,7.71E+01,9.80E-02,4.02E-01,4.71E-02,2.78E-02,2.02E+02,1.69E-01,4.49E-02,3.89E-02,5.80E-03,4.32E+01,1.82E-02,7.48E-01,9.09E+00,6.04E-03,7.74E-02,1.18E-03,1.97E-01,2.65E+02,5.77E-02,3.38E+00,3.63E+00,1.95E+01,7.59E+00,8.25E-01,4.60E-01,9.26E+00,2.45E+00,1.00E+00,0.00E+00,0.00E+00
31,2.20E-01,1.96E-01,2.11E-01,1.24E-02,7.32E-01,4.81E-01,2.30E-01,3.20E-01,1.76E-02,2.86E-03,8.48E+00,2.71E+00,5.33E+00,8.46E+01,6.43E-02,7.06E-03,6.95E-01,2.10E+00,2.42E+01,3.40E+01,1.40E+01,1.95E+00,4.37E+00,5.97E+00,3.40E+00,2.47E-01,2.08E+00,1.92E+00,1.00E+00,0.00E+00,0.00E+00
32,1.32E-01,5.61E-01,2.64E-03,1.34E-02,1.42E-02,2.44E-03,1.21E-02,1.29E+00,3.48E-02,2.12E-03,8.83E+00,3.05E-02,6.06E-02,6.02E+01,2.39E-01,3.12E-03,1.06E-02,7.81E+00,1.07E+01,5.16E-01,3.19E+00,1.52E+01,2.74E-01,2.40E+00,7.77E-01,1.93E+00,1.31E-01,7.74E-01,1.00E+00,0.00E+00,0.00E+00
33,7.10E+00,9.76E-01,1.22E-02,3.23E-02,1.08E-01,3.40E+00,2.82E-02,3.79E-02,3.19E+00,6.62E-02,1.69E-03,2.36E-01,2.89E-02,1.24E+01,9.33E-01,4.32E-02,2.85E-02,3.05E+01,1.48E+02,1.39E+00,5.70E-01,8.87E+00,3.75E+00,2.11E+00,1.39E-01,1.12E+00,1.78E+00,6.80E-01,1.00E+00,0.00E+00,0.00E+00
