,beta,gammam,gammamRNA,gammad,alphaass,alphadiss,phi0,f1,f2,f3,f12,f13,f23,f123,kb1,kb2,kb3,ku1,ku2,ku3,bcoop12,bcoop13,bcoop23,bcoop123,ucoop12,ucoop13,ucoop23,ucoop123,DNAtot,taum,taumRNA
124,2.32E+00,1.71E-01,8.06E-03,1.86E-03,2.60E-02,2.41E+02,2.83E-02,1.50E+00,2.50E+01,3.42E+01,1.08E+00,5.55E-01,5.48E-01,6.01E+01,1.74E-01,4.04E-02,1.11E-03,5.68E+00,1.38E+02,5.41E-02,3.11E-01,1.01E+01,3.83E+00,3.12E-01,7.57E-02,1.28E+00,1.82E+00,1.01E-01,1.00E+00,0.00E+00,0.00E+00
125,1.81E-01,4.87E-02,3.21E-02,3.05E-02,2.62E-02,8.30E+01,9.34E-01,1.37E-02,5.50E+01,2.37E-01,3.13E+01,1.90E-01,1.55E-01,2.34E+01,2.91E-03,2.41E-01,5.58E-01,9.50E-02,8.26E+02,2.73E+01,5.50E-01,9.26E+00,3.40E+00,1.23E+00,1.34E-01,1.17E+00,1.62E+00,3.95E-01,1.00E+00,0.00E+00,0.00E+00
126,3.28E+00,3.54E-03,3.52E+00,1.25E-03,1.41E-02,3.83E+01,2.15E-01,1.82E-03,1.06E+00,5.42E-02,8.39E-03,3.17E+00,2.25E+01,3.56E+01,1.77E-01,1.79E-01,2.24E-03,5.77E+00,6.14E+02,1.10E-01,2.92E-01,5.29E+00,6.94E-01,1.29E+01,7.12E-02,6.70E-01,3.30E-01,4.16E+00,1.00E+00,0.00E+00,0.00E+00
127,2.74E-02,1.09E-03,2.51E+00,1.70E-03,1.30E-01,1.22E+02,4.18E+00,2.39E-02,2.23E+00,4.14E-03,5.00E-03,7.23E-03,3.34E+00,7.21E+01,3.75E-03,6.32E-02,2.81E-03,1.22E-01,2.17E+02,1.38E-01,1.82E+01,1.86E+00,2.75E+00,6.24E-01,4.45E+00,2.35E-01,1.31E+00,2.01E-01,1.00E+00,0.00E+00,0.00E+00
128,2.69E+00,5.39E-02,8.84E-02,2.26E-03,2.72E-01,2.23E+01,1.27E-02,2.39E-01,8.67E+01,3.94E+00,1.21E+01,3.82E-02,4.63E-03,4.54E+01,7.17E-02,9.42E-03,3.83E-03,2.34E+00,3.23E+01,1.87E-01,2.35E+00,4.12E-01,6.91E+00,4.84E-01,5.74E-01,5.21E-02,3.29E+00,1.56E-01,1.00E+00,0.00E+00,0.00E+00
129,1.07E-02,1.97E-01,4.13E-03,5.36E-04,1.12E-02,1.25E+00,3.16E-01,6.01E-01,2.01E+00,1.64E-02,4.22E-02,1.07E+01,2.03E+01,7.15E+01,5.44E+00,8.25E-03,1.43E+01,1.78E+02,2.83E+01,7.00E+02,1.62E+00,5.09E-01,4.52E+00,9.83E-01,3.94E-01,6.45E-02,2.15E+00,3.17E-01,1.00E+00,0.00E+00,0.00E+00
130,5.61E+00,2.41E-01,4.40E+00,1.97E-02,6.22E-01,2.59E+02,4.54E+00,7.78E-01,2.73E-02,1.18E+00,5.81E-01,7.66E-03,6.45E+01,2.89E+01,2.19E-03,1.34E-01,4.20E-02,7.15E-02,4.60E+02,2.05E+00,1.20E+01,5.72E+00,5.25E-01,2.50E-01,2.94E+00,7.24E-01,2.50E-01,8.05E-02,1.00E+00,0.00E+00,0.00E+00
131,7.30E-02,8.59E-03,2.20E-02,1.05E-03,1.07E-02,5.03E-01,1.57E-02,8.53E-02,4.48E+00,6.19E-03,8.26E-03,2.27E+00,1.93E+00,6.19E+01,2.82E-01,3.32E-02,9.68E-01,9.21E+00,1.14E+02,4.73E+01,4.24E+00,2.65E+00,1.98E-01,5.92E+00,1.03E+00,3.35E-01,9.40E-02,1.91E+00,1.00E+00,0.00E+00,0.00E+00
132,7.74E-01,8.46E-01,3.18E-01,1.78E-03,5.25E-01,1.03E-01,1.91E-01,2.70E+00,9.34E+01,1.36E+00,9.32E+00,6.71E-01,1.66E+00,2.89E+01,6.52E-02,6.55E-03,1.50E-02,2.13E+00,2.25E+01,7.34E-01,2.23E-01,9.69E+00,2.57E+00,8.69E-01,5.43E-02,1.23E+00,1.22E+00,2.80E-01,1.00E+00,0.00E+00,0.00E+00
133,1.77E+00,8.23E-02,1.22E-02,1.65E-02,3.21E-02,6.45E+01,1.97E-02,1.69E-01,1.00E+01,2.78E-01,5.90E-01,1.07E-01,9.95E-01,4.38E+01,4.21E-01,1.41E-01,7.61E-01,1.37E+01,4.82E+02,3.72E+01,1.23E+01,1.17E+01,1.46E+01,1.12E+00,2.99E+00,1.49E+00,6.93E+00,3.62E-01,1.00E+00,0.00E+00,0.00E+00
134,1.40E-01,7.87E-02,6.94E-01,4.99E-03,1.79E-02,1.54E+01,5.30E+00,3.20E+00,3.15E-01,1.34E-02,4.17E-02,1.51E-03,5.04E-01,7.10E+01,3.53E+00,1.85E-02,9.14E-01,1.15E+02,6.33E+01,4.47E+01,1.79E+00,8.24E-01,6.05E-01,7.91E+00,4.36E-01,1.04E-01,2.88E-01,2.55E+00,1.00E+00,0.00E+00,0.00E+00
135,2.71E-01,4.81E-01,6.63E-02,1.39E-03,1.24E-01,2.38E-02,7.36E-02,5.21E-03,2.35E-02,4.37E-02,2.31E-01,3.64E+00,4.96E+00,2.63E+01,2.06E+00,3.07E-02,2.78E-02,6.72E+01,1.05E+02,1.36E+00,4.20E+00,3.57E+00,2.26E+00,1.52E+01,1.03E+00,4.52E-01,1.08E+00,4.91E+00,1.00E+00,0.00E+00,0.00E+00
136,1.84E-01,2.15E-01,5.37E-01,2.90E-03,1.99E-01,5.35E-03,2.23E-01,1.56E-02,1.92E+01,8.85E-02,2.74E-01,1.09E-03,5.11E+01,6.53E+01,1.87E+01,8.24E-03,9.14E-02,6.11E+02,2.83E+01,4.47E+00,7.32E-01,1.63E+01,2.02E+00,2.27E+00,1.79E-01,2.07E+00,9.63E-01,7.34E-01,1.00E+00,0.00E+00,0.00E+00
137,6.33E+00,8.33E-02,1.17E+00,1.38E-02,1.50E-01,2.93E+01,1.94E-01,4.38E+00,7.19E+00,4.38E-01,3.71E+00,7.27E-01,3.09E-01,5.24E+01,8.35E-01,1.36E-03,1.42E-02,2.73E+01,4.66E+00,6.93E-01,1.02E+01,7.99E+00,1.06E-01,7.30E+00,2.49E+00,1.01E+00,5.06E-02,2.36E+00,1.00E+00,0.00E+00,0.00E+00
138,5.41E+00,3.68E-01,5.37E-01,2.72E-03,1.05E-01,8.96E+00,2.98E-01,1.64E-03,1.12E-03,6.15E-03,1.64E-02,1.55E-01,1.33E+01,3.35E+01,3.28E-03,7.99E-02,1.72E-01,1.07E-01,2.74E+02,8.43E+00,2.79E+00,6.54E-01,5.82E-01,1.14E+00,6.81E-01,8.28E-02,2.77E-01,3.69E-01,1.00E+00,0.00E+00,0.00E+00
139,5.80E-02,5.71E-01,1.28E-03,7.11E-04,1.34E-01,9.69E-01,1.13E-01,2.84E+00,1.35E+00,2.46E-01,1.32E-02,2.17E-03,7.04E-03,9.06E+00,7.85E-03,2.00E-03,9.04E-03,2.56E-01,6.87E+00,4.42E-01,1.49E+00,5.94E-01,9.07E+00,1.68E+01,3.64E-01,7.52E-02,4.32E+00,5.41E+00,1.00E+00,0.00E+00,0.00E+00
140,1.07E-01,4.11E-01,3.84E-02,1.17E-03,3.58E-02,3.50E+01,2.84E+00,9.23E+00,9.89E+00,1.63E-01,6.34E+01,3.25E-02,6.14E-02,4.71E+01,1.05E-03,2.16E-03,2.30E-02,3.43E-02,7.41E+00,1.13E+00,5.60E+00,1.49E+00,1.85E+01,1.09E+00,1.37E+00,1.89E-01,8.81E+00,3.50E-01,1.00E+00,0.00E+00,0.00E+00
141,2.72E+01,1.22E-02,2.48E-01,2.47E-02,1.05E-02,5.12E+02,3.29E-02,3.06E+00,7.66E-03,3.76E-01,1.71E-02,9.50E-02,2.16E-03,3.00E+01,1.14E+00,1.27E-02,1.19E+01,3.72E+01,4.34E+01,5.82E+02,2.51E+00,6.38E+00,5.47E+00,8.71E+00,6.13E-01,8.08E-01,2.60E+00,2.81E+00,1.00E+00,0.00E+00,0.00E+00
142,3.52E-01,3.64E-01,5.41E+00,2.10E-02,4.30E-02,8.21E-03,6.78E+00,4.20E+00,4.96E-02,1.90E-03,1.31E-01,3.05E-02,3.12E-01,8.07E+01,9.39E-02,1.75E-01,2.29E-03,3.07E+00,6.01E+02,1.12E-01,5.28E+00,8.29E+00,2.86E+00,2.97E-01,1.29E+00,1.05E+00,1.36E+00,9.57E-02,1.00E+00,0.00E+00,0.00E+00
143,2.28E+00,4.23E-01,7.74E-01,1.82E-02,5.88E-01,2.93E+02,5.07E+00,4.32E-02,3.66E-02,9.17E-01,9.67E-01,8.26E-02,7.25E+00,2.00E+01,4.70E-01,7.37E-03,4.10E+00,1.54E+01,2.53E+01,2.00E+02,3.97E+00,1.42E+01,3.14E-01,1.39E+01,9.69E-01,1.79E+00,1.50E-01,4.47E+00,1.00E+00,0.00E+00,0.00E+00
144,3.11E-02,4.63E-03,7.01E-03,6.91E-03,2.84E-01,1.66E+02,5.60E-02,4.26E-01,1.42E+01,6.52E-01,3.81E-02,6.09E-03,2.05E-02,5.14E+01,1.07E-03,7.59E-03,1.12E-03,3.49E-02,2.60E+01,5.46E-02,2.49E-01,5.81E+00,1.55E-01,3.41E-01,6.08E-02,7.35E-01,7.40E-02,1.10E-01,1.00E+00,0.00E+00,0.00E+00
145,1.79E+01,4.52E-01,4.13E+00,9.67E-04,2.34E-02,9.11E+01,2.54E+00,2.44E-01,3.55E-01,1.26E-01,1.08E+00,7.03E-03,9.56E+01,7.49E+01,5.29E-03,3.12E-03,1.96E-01,1.73E-01,1.07E+01,9.59E+00,1.47E+01,5.78E+00,7.29E-01,4.06E+00,3.58E+00,7.31E-01,3.47E-01,1.31E+00,1.00E+00,0.00E+00,0.00E+00
146,2.00E-01,6.04E-01,2.07E+00,1.13E-03,2.96E-01,1.59E-01,1.58E+00,1.14E+01,1.17E-01,1.21E-01,4.39E-03,1.34E+01,1.78E+01,9.25E+01,8.59E-03,8.45E-02,6.42E-03,2.80E-01,2.90E+02,3.14E-01,1.64E+01,2.89E+00,1.66E+01,1.17E+00,3.99E+00,3.66E-01,7.89E+00,3.79E-01,1.00E+00,0.00E+00,0.00E+00
147,3.08E-02,3.00E-02,3.87E-02,1.18E-03,3.24E-02,8.42E-01,3.76E-01,2.67E+00,3.47E-02,1.86E-01,8.76E+01,6.34E-02,1.33E-03,2.03E+01,2.92E+00,5.96E-03,1.60E+01,9.54E+01,2.04E+01,7.83E+02,2.54E+00,1.30E+01,5.12E-01,8.00E-01,6.19E-01,1.64E+00,2.44E-01,2.58E-01,1.00E+00,0.00E+00,0.00E+00
148,5.39E+00,5.45E-01,3.22E-02,8.94E-04,1.23E-01,7.52E+01,1.21E-01,1.98E-02,3.73E-02,5.04E+00,1.10E+00,1.83E-01,3.31E-02,1.89E+01,1.90E-03,2.97E-02,5.74E-03,6.19E-02,1.02E+02,2.80E-01,1.06E+01,4.04E-01,1.62E+01,3.56E+00,2.58E+00,5.11E-02,7.70E+00,1.15E+00,1.00E+00,0.00E+00,0.00E+00
149,2.61E-02,4.27E-01,1.20E-03,2.96E-02,5.78E-02,9.63E+01,1.10E+00,8.19E-01,1.81E+00,8.04E-01,4.25E+01,5.04E-03,6.14E-03,2.32E+01,5.43E-02,1.32E-03,1.52E-03,1.77E+00,4.54E+00,7.42E-02,2.14E+00,6.64E-01,1.10E+00,1.32E+01,5.22E-01,8.41E-02,5.24E-01,4.26E+00,1.00E+00,0.00E+00,0.00E+00
150,2.15E-01,3.35E-02,2.06E+00,3.97E-03,3.19E-02,3.11E+01,3.63E+00,2.96E-01,4.40E+00,2.74E+00,4.67E+00,2.88E-01,3.24E+01,9.66E+01,3.17E-03,4.21E-03,1.33E+01,1.04E-01,1.44E+01,6.51E+02,3.76E+00,4.00E-01,2.26E-01,6.05E+00,9.18E-01,5.06E-02,1.08E-01,1.95E+00,1.00E+00,0.00E+00,0.00E+00
151,1.76E-02,5.03E-02,2.88E-02,3.25E-03,5.84E-01,1.66E+01,2.28E+00,1.22E-03,6.28E-02,4.19E-02,9.33E-01,1.37E-03,1.07E-03,9.04E+00,1.42E-03,4.21E-03,1.08E-01,4.63E-02,1.44E+01,5.28E+00,2.84E+00,5.17E+00,1.70E+01,1.90E+00,6.93E-01,6.54E-01,8.11E+00,6.13E-01,1.00E+00,0.00E+00,0.00E+00
152,2.07E+00,3.70E-01,3.51E-03,1.66E-02,6.74E-02,8.21E+02,2.72E-02,9.66E-01,3.16E-03,3.33E+00,1.55E-03,1.14E-01,2.92E-02,7.46E+01,2.23E-03,1.54E-02,6.11E-03,7.28E-02,5.27E+01,2.99E-01,3.12E-01,4.23E-01,2.61E+00,2.91E-01,7.61E-02,5.35E-02,1.25E+00,9.40E-02,1.00E+00,0.00E+00,0.00E+00
153,4.86E+00,3.19E-02,1.19E+00,1.14E-03,1.48E-02,8.44E-02,1.11E-02,4.28E-02,1.03E+00,2.57E-03,4.09E+01,6.47E-02,1.00E+01,8.16E+01,6.77E-02,5.76E-02,2.35E-02,2.21E+00,1.98E+02,1.15E+00,8.35E-01,2.77E+00,4.65E+00,1.62E+00,2.04E-01,3.51E-01,2.21E+00,5.24E-01,1.00E+00,0.00E+00,0.00E+00
154,9.50E-01,4.95E-01,3.47E-03,5.41E-02,4.22E-02,4.22E+01,4.03E-02,2.79E+00,2.20E+01,2.10E-02,5.34E+01,1.04E+01,4.81E-03,4.41E+01,9.43E-02,7.84E-03,1.46E+00,3.08E+00,2.69E+01,7.11E+01,2.62E+00,1.25E+01,1.92E+00,1.02E+01,6.39E-01,1.58E+00,9.15E-01,3.29E+00,1.00E+00,0.00E+00,0.00E+00
155,4.92E+00,7.22E-02,2.09E-01,4.29E-03,3.69E-02,7.54E+00,1.31E-01,8.22E-02,1.24E-01,1.01E-01,8.90E+00,7.40E-02,1.93E+01,1.13E+01,2.48E-02,9.08E-02,4.82E-02,8.08E-01,3.11E+02,2.35E+00,5.66E+00,6.52E+00,4.58E+00,2.81E-01,1.38E+00,8.25E-01,2.18E+00,9.05E-02,1.00E+00,0.00E+00,0.00E+00
156,9.36E-01,6.37E-02,7.50E-02,1.20E-02,1.68E-02,6.90E-02,1.60E-02,5.12E-01,1.60E+00,2.85E-02,1.04E-01,1.61E+00,6.47E-03,9.99E+01,1.06E-03,2.36E-01,4.82E-03,3.46E-02,8.10E+02,2.36E-01,6.87E-01,1.48E+00,2.72E+00,2.99E+00,1.68E-01,1.87E-01,1.30E+00,9.66E-01,1.00E+00,0.00E+00,0.00E+00
157,8.96E-02,4.49E-02,1.03E+00,3.63E-03,2.66E-02,2.33E-01,1.60E+00,3.15E+00,8.55E-01,1.91E+00,4.56E-02,8.26E-01,3.47E-02,6.60E+01,6.64E+00,1.16E-03,4.96E-02,2.17E+02,3.96E+00,2.43E+00,1.71E+01,7.97E+00,1.77E+00,3.95E-01,4.16E+00,1.01E+00,8.44E-01,1.27E-01,1.00E+00,0.00E+00,0.00E+00
158,2.59E+00,5.39E-02,3.64E-01,2.12E-03,2.10E-01,1.65E+00,6.58E-02,3.04E-02,7.81E-01,1.55E-03,1.65E-03,2.09E-02,2.41E-02,1.51E+01,2.14E-02,1.68E-03,1.49E+00,6.97E-01,5.77E+00,7.27E+01,3.72E+00,4.52E+00,5.81E+00,5.92E-01,9.08E-01,5.72E-01,2.77E+00,1.91E-01,1.00E+00,0.00E+00,0.00E+00
159,1.05E+00,7.50E-01,1.44E-01,7.71E-04,4.31E-01,6.14E+01,2.52E+00,2.15E-03,5.09E-03,1.54E-01,4.88E+01,5.83E-01,6.65E+01,1.38E+01,5.14E-01,1.75E-01,1.56E-03,1.68E+01,6.00E+02,7.63E-02,3.09E-01,5.87E-01,1.18E+00,2.43E-01,7.55E-02,7.43E-02,5.60E-01,7.84E-02,1.00E+00,0.00E+00,0.00E+00
160,4.02E-02,8.33E-02,6.14E-03,8.48E-03,3.62E-01,7.22E+00,9.96E-02,1.41E-02,1.26E-03,5.88E+00,1.64E+01,3.49E-01,1.10E-02,3.29E+01,1.03E+00,3.02E-02,1.40E+00,3.36E+01,1.04E+02,6.83E+01,3.99E+00,5.30E+00,1.81E+00,5.58E+00,9.73E-01,6.71E-01,8.63E-01,1.80E+00,1.00E+00,0.00E+00,0.00E+00
161,7.03E+01,8.33E-01,5.56E+00,7.19E-02,1.03E-02,7.45E-02,6.39E-01,1.09E-03,7.49E-02,6.76E-03,1.08E-01,4.29E-01,1.74E+00,2.22E+01,3.53E+00,3.21E-03,1.42E+00,1.15E+02,1.10E+01,6.92E+01,1.84E+01,7.10E-01,1.09E-01,6.36E+00,4.49E+00,8.99E-02,5.21E-02,2.05E+00,1.00E+00,0.00E+00,0.00E+00
162,7.00E+01,1.35E-01,1.86E-01,7.44E-04,1.62E-02,1.21E+02,2.44E-02,1.12E-02,1.83E+00,1.71E-03,1.15E-01,1.37E-03,7.32E-01,3.74E+01,1.48E-02,2.51E-03,7.51E-01,4.83E-01,8.59E+00,3.67E+01,2.14E-01,6.82E-01,2.07E-01,4.42E-01,5.23E-02,8.63E-02,9.86E-02,1.43E-01,1.00E+00,0.00E+00,0.00E+00
163,4.04E-01,8.87E-01,1.20E-02,5.41E-04,1.40E-01,7.47E+00,1.33E-01,6.56E-01,4.67E-02,1.14E-02,3.10E+01,1.54E-01,1.50E-01,4.30E+01,2.83E-02,6.15E-03,1.98E-01,9.25E-01,2.11E+01,9.66E+00,1.42E+01,4.13E-01,1.68E-01,5.47E-01,3.46E+00,5.23E-02,7.99E-02,1.76E-01,1.00E+00,0.00E+00,0.00E+00
164,3.70E-01,3.65E-01,4.78E-03,3.88E-03,4.40E-02,1.34E-01,1.19E-02,4.20E+00,4.42E+00,4.61E-02,1.18E+01,1.60E-02,2.12E+00,2.68E+01,6.89E-03,3.32E-03,2.03E-02,2.25E-01,1.14E+01,9.90E-01,3.09E+00,1.20E+00,1.03E+00,4.79E-01,7.55E-01,1.52E-01,4.89E-01,1.55E-01,1.00E+00,0.00E+00,0.00E+00
165,6.12E-02,6.78E-03,4.21E-01,1.04E-03,8.81E-01,1.14E+01,2.04E-01,5.42E-02,7.14E+01,2.59E-02,2.44E+00,2.31E-02,1.83E+00,7.54E+01,4.09E-02,3.43E-03,3.96E-01,1.33E+00,1.18E+01,1.94E+01,9.04E+00,5.13E-01,1.34E-01,1.23E+00,2.21E+00,6.49E-02,6.36E-02,3.97E-01,1.00E+00,0.00E+00,0.00E+00
166,1.23E-02,9.81E-03,1.34E-02,9.48E-04,5.27E-02,3.10E+00,1.45E-01,1.80E+00,5.58E+00,1.30E-01,2.32E-03,2.25E-01,3.88E+01,2.58E+01,9.24E-02,4.89E-02,1.97E-01,3.02E+00,1.68E+02,9.64E+00,7.98E+00,3.48E+00,2.61E-01,2.91E-01,1.95E+00,4.41E-01,1.24E-01,9.38E-02,1.00E+00,0.00E+00,0.00E+00
167,2.15E-01,6.17E-03,7.33E-03,1.52E-02,6.63E-02,3.31E+02,4.12E-02,5.97E-03,4.74E-03,8.36E-03,5.19E-03,2.42E-01,2.85E+00,2.75E+01,1.15E+01,3.51E-03,6.97E-03,3.75E+02,1.20E+01,3.41E-01,1.28E+01,3.34E+00,1.32E+00,1.10E+00,3.11E+00,4.23E-01,6.26E-01,3.54E-01,1.00E+00,0.00E+00,0.00E+00
168,8.68E-01,8.97E-01,1.73E-03,6.91E-03,8.32E-02,1.57E+00,2.83E-02,1.13E-02,2.06E+01,1.51E-02,1.50E+00,4.26E-02,3.27E+01,8.81E+00,1.26E+01,2.04E-02,5.96E-03,4.12E+02,7.00E+01,2.91E-01,3.55E+00,1.43E+00,4.38E-01,1.70E-01,8.65E-01,1.81E-01,2.09E-01,5.50E-02,1.00E+00,0.00E+00,0.00E+00
169,1.60E+01,4.81E-02,5.82E+00,1.13E-03,3.79E-02,1.76E-01,5.32E-02,1.66E+00,5.66E+00,5.14E-03,1.07E+01,3.36E+00,1.71E-01,3.15E+01,1.43E-03,1.48E-02,4.38E-03,4.68E-02,5.07E+01,2.14E-01,4.85E+00,1.66E+00,2.09E-01,1.99E+01,1.18E+00,2.11E-01,9.95E-02,6.43E+00,1.00E+00,0.00E+00,0.00E+00
170,1.70E-01,2.28E-01,2.45E-02,9.28E-03,7.74E-02,4.68E-01,1.34E-01,5.64E-03,6.98E-01,2.16E-01,2.26E-02,2.70E-02,6.65E+00,3.12E+01,4.18E-02,1.78E-01,3.51E-01,1.37E+00,6.10E+02,1.71E+01,1.91E+00,9.53E+00,3.36E+00,1.84E-01,4.66E-01,1.21E+00,1.60E+00,5.94E-02,1.00E+00,0.00E+00,0.00E+00
171,3.23E-02,9.40E-02,7.26E-03,5.13E-04,8.04E-01,4.74E+01,1.67E-01,1.68E-03,4.46E+00,1.31E-01,1.18E+01,8.26E-01,2.03E-02,2.98E+01,2.40E-01,6.24E-02,9.27E-02,7.84E+00,2.14E+02,4.53E+00,1.53E+01,1.95E+00,9.88E+00,8.81E-01,3.74E+00,2.47E-01,4.71E+00,2.84E-01,1.00E+00,0.00E+00,0.00E+00
172,1.90E+01,1.88E-02,1.69E-01,8.97E-04,3.18E-02,8.06E+01,1.55E-02,4.31E-03,1.29E-01,3.26E+00,4.74E+00,4.51E-03,2.53E+01,1.64E+01,8.89E-01,1.55E-03,4.80E-01,2.90E+01,5.32E+00,2.35E+01,1.98E+01,5.09E+00,2.93E+00,2.34E-01,4.84E+00,6.44E-01,1.40E+00,7.55E-02,1.00E+00,0.00E+00,0.00E+00
173,3.60E+00,8.45E-02,3.06E-02,3.22E-03,1.37E-01,2.19E+02,4.70E-02,2.37E-01,3.00E-02,5.75E+00,9.46E+00,3.20E-03,2.44E+01,1.84E+01,2.26E+01,7.95E-02,6.64E-02,7.39E+02,2.73E+02,3.25E+00,1.45E+00,1.12E+01,7.06E+00,9.84E-01,3.54E-01,1.42E+00,3.36E+00,3.17E-01,1.00E+00,0.00E+00,0.00E+00
174,1.83E-02,8.12E-02,1.76E-03,6.01E-04,2.14E-01,5.65E+02,9.18E-01,4.27E-03,9.69E+01,2.28E-01,9.69E+01,7.21E-02,4.42E-02,1.28E+01,1.67E-03,2.05E-03,1.53E+01,5.46E-02,7.02E+00,7.50E+02,3.42E-01,2.50E+00,1.39E+00,1.52E+00,8.34E-02,3.17E-01,6.60E-01,4.90E-01,1.00E+00,0.00E+00,0.00E+00
175,1.23E-02,1.92E-03,2.01E-01,1.41E-03,3.02E-01,6.20E+01,6.70E-01,1.62E+00,5.17E+01,3.89E-03,9.61E+00,1.10E+00,2.47E-01,6.57E+01,6.48E-02,1.31E-03,1.18E-02,2.12E+00,4.48E+00,5.75E-01,4.67E+00,2.80E+00,2.32E-01,3.85E-01,1.14E+00,3.55E-01,1.10E-01,1.24E-01,1.00E+00,0.00E+00,0.00E+00
176,1.00E+00,7.31E-02,6.36E+00,2.58E-03,5.44E-02,8.10E-02,2.07E+00,1.57E-02,4.58E-03,1.46E-02,2.15E-02,1.44E-03,1.16E-03,1.93E+01,9.55E-02,4.92E-02,1.25E+00,3.12E+00,1.69E+02,6.09E+01,3.86E+00,2.07E+00,2.81E+00,3.13E-01,9.42E-01,2.63E-01,1.34E+00,1.01E-01,1.00E+00,0.00E+00,0.00E+00
177,1.69E+01,5.83E-01,2.57E+00,2.23E-03,1.07E-01,1.61E+01,8.99E-01,1.28E+01,8.07E-02,3.72E-02,4.47E-02,4.08E-02,1.83E-01,3.55E+01,1.82E-01,6.06E-03,2.30E+00,5.96E+00,2.08E+01,1.12E+02,9.20E+00,3.02E+00,1.82E+01,1.59E-01,2.25E+00,3.82E-01,8.65E+00,5.14E-02,1.00E+00,0.00E+00,0.00E+00
178,3.98E+00,1.38E-01,9.43E-01,1.51E-02,6.92E-02,1.88E+02,1.16E+00,2.81E-02,2.99E-01,4.59E-01,6.81E+00,4.42E-02,3.97E-02,4.80E+01,1.02E-02,5.02E-03,4.28E-02,3.34E-01,1.72E+01,2.09E+00,1.65E+00,1.02E+00,1.85E-01,1.78E-01,4.02E-01,1.29E-01,8.82E-02,5.75E-02,1.00E+00,0.00E+00,0.00E+00
179,6.63E+00,4.01E-01,4.77E+00,7.87E-04,9.85E-01,2.01E-02,1.40E-01,8.92E-02,5.92E-02,8.33E-01,1.05E-02,2.15E-01,2.07E-03,1.41E+01,4.97E-03,2.70E-03,5.61E+00,1.62E-01,9.26E+00,2.74E+02,1.41E+01,5.45E-01,6.40E-01,3.27E-01,3.45E+00,6.90E-02,3.05E-01,1.06E-01,1.00E+00,0.00E+00,0.00E+00
180,7.51E-02,1.52E-01,5.29E-01,2.08E-03,1.50E-02,4.56E-02,2.18E+00,2.26E-01,5.98E-03,2.03E-01,1.20E-02,1.61E-03,1.67E-01,3.42E+01,1.22E+00,1.78E-01,2.75E-02,3.98E+01,6.10E+02,1.35E+00,2.41E-01,7.47E-01,5.00E-01,3.24E-01,5.88E-02,9.46E-02,2.38E-01,1.05E-01,1.00E+00,0.00E+00,0.00E+00
181,1.28E-01,5.61E-03,5.30E-02,9.24E-03,3.23E-02,6.34E+02,3.99E-01,2.74E-01,2.44E-02,5.48E+00,2.06E+00,1.01E+00,6.35E+01,3.63E+01,1.75E-01,8.67E-03,1.93E-01,5.70E+00,2.97E+01,9.44E+00,3.72E-01,1.64E+01,4.72E+00,2.22E-01,9.08E-02,2.07E+00,2.25E+00,7.15E-02,1.00E+00,0.00E+00,0.00E+00
182,7.68E-01,2.15E-01,1.42E+00,1.43E-03,2.56E-02,1.62E-03,2.93E-01,4.49E-02,6.30E-03,5.94E-02,1.18E-02,3.22E-01,3.78E-01,2.65E+01,1.49E-02,7.27E-03,1.60E-03,4.87E-01,2.49E+01,7.82E-02,1.22E+00,9.73E+00,1.47E+01,2.47E+00,2.98E-01,1.23E+00,7.00E+00,7.96E-01,1.00E+00,0.00E+00,0.00E+00
183,1.65E-01,6.96E-02,5.66E-01,7.16E-04,7.89E-01,1.01E+00,2.02E-01,5.95E-01,6.32E-03,6.07E-02,1.79E-02,7.29E+00,1.09E-01,5.61E+01,3.91E-01,1.56E-02,4.32E-01,1.28E+01,5.36E+01,2.11E+01,3.51E-01,6.80E-01,1.31E-01,2.38E-01,8.56E-02,8.61E-02,6.24E-02,7.69E-02,1.00E+00,0.00E+00,0.00E+00
184,3.63E+00,8.05E-01,7.47E-03,2.72E-02,1.63E-01,9.31E+00,2.78E-02,1.37E-01,2.63E-03,1.95E-01,2.51E-02,1.33E-03,6.01E-01,1.54E+01,3.53E-03,2.56E-02,2.33E-01,1.15E-01,8.76E+01,1.14E+01,1.90E+00,1.73E+01,2.11E-01,1.24E+00,4.64E-01,2.19E+00,1.01E-01,3.99E-01,1.00E+00,0.00E+00,0.00E+00
185,1.86E+00,6.52E-01,1.04E-01,1.29E-02,4.25E-02,1.47E-02,9.56E-02,6.96E-02,7.05E+00,1.30E-01,1.10E-02,2.48E-02,4.20E+00,1.95E+01,1.42E+01,3.25E-03,2.18E-03,4.65E+02,1.11E+01,1.06E-01,2.70E-01,8.81E+00,1.74E+01,3.87E+00,6.59E-02,1.12E+00,8.27E+00,1.25E+00,1.00E+00,0.00E+00,0.00E+00
186,1.10E+01,1.84E-01,4.78E-02,8.45E-04,4.30E-02,5.93E+02,9.78E-02,9.42E-02,9.18E+01,1.27E+01,3.49E-01,6.64E-02,6.75E+00,2.74E+01,2.14E+01,8.20E-03,8.35E-02,6.99E+02,2.81E+01,4.08E+00,1.14E+00,8.21E-01,1.41E+01,9.06E+00,2.77E-01,1.04E-01,6.70E+00,2.92E+00,1.00E+00,0.00E+00,0.00E+00
