,f13,f123,cmin,cmax,N
46,31.622776601683793,0.001,,,0.0
47,39.81071705534978,0.001,,,0.0
48,50.11872336272725,0.001,,,0.0
49,63.09573444801943,0.001,,,0.0
50,79.43282347242821,0.001,,,0.0
51,100.0,0.001,,,0.0
52,0.001,0.0012589254117941675,0.3134425965501892,5.108333333333335,25.0
53,0.0012589254117941675,0.0012589254117941675,0.3134425965501892,5.108333333333335,25.0
54,0.001584893192461114,0.0012589254117941675,0.3134425965501892,5.108333333333335,25.0
55,0.001995262314968879,0.0012589254117941675,0.3134425965501892,5.108333333333335,25.0
56,0.0025118864315095794,0.0012589254117941675,0.3134425965501892,5.108333333333335,25.0
57,0.0031622776601683794,0.0012589254117941675,0.3134425965501892,5.108333333333335,25.0
58,0.003981071705534973,0.0012589254117941675,0.3134425965501892,5.108333333333335,25.0
59,0.005011872336272725,0.0012589254117941675,0.3134425965501892,5.108333333333335,25.0
60,0.00630957344480193,0.0012589254117941675,0.3134425965501892,5.108333333333335,25.0
61,0.007943282347242814,0.0012589254117941675,0.3134425965501892,5.108333333333335,25.0
62,0.01,0.0012589254117941675,0.3134425965501892,5.108333333333335,25.0
63,0.012589254117941675,0.0012589254117941675,0.3134425965501892,5.108333333333335,25.0
64,0.01584893192461114,0.0012589254117941675,0.3134425965501892,5.108333333333335,25.0
65,0.0199526231496888,0.0012589254117941675,0.3134425965501892,5.108333333333335,25.0
66,0.025118864315095808,0.0012589254117941675,0.3134425965501892,5.108333333333335,25.0
67,0.03162277660168379,0.0012589254117941675,0.3134425965501892,5.108333333333335,25.0
68,0.039810717055349734,0.0012589254117941675,0.3134425965501892,5.108333333333335,25.0
69,0.05011872336272725,0.0012589254117941675,0.3134425965501892,5.108333333333335,25.0
70,0.06309573444801933,0.0012589254117941675,0.3134425965501892,5.108333333333335,25.0
71,0.07943282347242818,0.0012589254117941675,0.3134425965501892,5.108333333333335,25.0
72,0.1,0.0012589254117941675,0.3134425965501892,5.108333333333335,25.0
73,0.12589254117941676,0.0012589254117941675,0.3134425965501892,5.108333333333335,25.0
74,0.15848931924611143,0.0012589254117941675,0.3134425965501892,5.108333333333335,25.0
75,0.19952623149688808,0.0012589254117941675,0.3134425965501892,5.108333333333335,25.0
76,0.25118864315095824,0.0012589254117941675,0.3134425965501892,5.108333333333335,25.0
77,0.31622776601683794,0.0012589254117941675,0.3134425965501892,5.108333333333335,25.0
78,0.3981071705534973,0.0012589254117941675,0.3134425965501892,5.108333333333335,25.0
79,0.5011872336272725,0.0012589254117941675,0.3134425965501892,5.108333333333335,25.0
80,0.6309573444801936,0.0012589254117941675,0.27903132787004165,5.108333333333335,26.0
81,0.7943282347242822,0.0012589254117941675,0.27903132787004165,5.108333333333335,26.0
82,1.0,0.0012589254117941675,0.27903132787004165,5.108333333333335,26.0
83,1.2589254117941675,0.0012589254117941675,0.24839789738167165,5.108333333333335,27.0
84,1.584893192461114,0.0012589254117941675,0.2211275554419927,5.108333333333335,28.0
85,1.9952623149688808,0.0012589254117941675,0.19685108566204598,5.108333333333335,29.0
86,2.5118864315095824,0.0012589254117941675,0.1388745493996076,5.108333333333335,32.0
87,3.1622776601683795,0.0012589254117941675,0.027261638572745536,5.108333333333335,46.0
88,3.981071705534973,0.0012589254117941675,5.1083333333333306e-05,2.014831928696068,92.0
89,5.011872336272725,0.0012589254117941675,,,0.0
90,6.309573444801936,0.0012589254117941675,,,0.0
91,7.943282347242821,0.0012589254117941675,,,0.0
92,10.0,0.0012589254117941675,,,0.0
93,12.589254117941687,0.0012589254117941675,,,0.0
94,15.848931924611142,0.0012589254117941675,,,0.0
95,19.952623149688787,0.0012589254117941675,,,0.0
96,25.11886431509582,0.0012589254117941675,,,0.0
97,31.622776601683793,0.0012589254117941675,,,0.0
98,39.81071705534978,0.0012589254117941675,,,0.0
99,50.11872336272725,0.0012589254117941675,,,0.0
100,63.09573444801943,0.0012589254117941675,,,0.0
