,beta,gammam,gammamRNA,gammad,alphaass,alphadiss,phi0,f1,f2,f3,f12,f13,f23,f123,kb1,kb2,kb3,ku1,ku2,ku3,bcoop12,bcoop13,bcoop23,bcoop123,ucoop12,ucoop13,ucoop23,ucoop123,DNAtot,taum,taumRNA,period,DNA0_min,DNA0_max,DNA1_min,DNA1_max,DNA2_min,DNA2_max,DNA3_min,DNA3_max,DNA12_min,DNA12_max,DNA23_min,DNA23_max,DNA13_min,DNA13_max,DNA123_min,DNA123_max,mRNA_min,mRNA_max,m_min,m_max,d_min,d_max,selected,monotonicity_type
945,0.6879,0.041,1.727,0.03551,0.08916,390.9,5.058,1.711,30.63,0.1258,0.002418,0.001283,11.15,0.005098,0.003063,7.534,11.22,0.1246,19.39,12.71,10.18,1.353,1.22,0.5784,0.1399,0.06123,0.1118,0.3621,1,0,0,224.2,0.01767,0.1963,5.95E-05,0.01117,0.004552,0.01871,0.01031,0.04251,0.002036,0.0262,0.003912,0.1302,0.001387,0.01878,0.7271,0.8991,0.9485,5.682,18.97,73.21,0.08211,1.222,FALSE,0
946,4.336,0.1989,4.212,0.004232,0.6328,142.8,0.8074,0.06435,92.35,0.01933,1.473,0.0564,2.771,0.004712,0.339,1.515,0.08444,16.03,4.824,0.05098,0.1756,12.74,2.88,14.24,0.2204,0.6456,1.199,0.08062,1,0,0,40.3,0.09188,0.2793,0.0006803,0.00276,0.00998,0.04142,0.02761,0.2726,0.0001051,0.0001423,0.01681,0.03823,0.009313,0.02079,0.4194,0.8115,0.2226,0.7814,6.343,13.79,0.1786,0.842,FALSE,0
947,11.52,0.2021,3.563,0.09213,0.1269,185.9,0.4647,25.27,0.3317,0.05498,2.215,0.009917,3.337,0.001731,0.08119,0.2037,0.01125,0.1886,3.825,0.01347,0.2052,0.1527,13.73,0.1012,4.823,9.076,0.2999,0.0541,1,0,0,290.1,0.2392,0.7728,0.02423,0.2192,0.003013,0.02688,0.08669,0.3208,4.49E-06,0.0008027,0.04026,0.4489,0.0001145,0.001473,2.00E-06,0.0004256,0.1919,0.9148,10.93,49.52,0.08157,1.673,FALSE,1
948,0.6474,0.05049,0.00994,0.007259,0.01396,1.21,0.2986,0.4714,0.009086,0.00267,0.0013,70.91,0.007167,0.03881,0.01847,0.001312,0.04231,60,0.01527,0.01384,0.1221,1.865,0.05794,0.3753,0.1043,2.61,0.06457,3.446,1,0,0,1818,0.0006837,0.02135,1.61E-05,5.18E-05,0.003562,0.02095,0.1602,0.5115,5.10E-05,0.0001093,0.458,0.8305,0.000599,0.004334,9.98E-05,0.001903,2.032,8.815,24.28,85.85,6.763,84.51,TRUE,3
949,51.38,0.3326,7.665,0.01189,0.01,92.49,4.889,2.564,0.006611,0.01354,0.02687,0.6796,3.527,0.01237,0.001931,0.3938,41.03,0.1581,1.166,50.06,7.894,15.34,13.91,0.4299,0.4172,0.1501,0.1212,0.09142,1,0,0,121.3,0.0975,0.147,0.0001065,0.0003436,0.004526,0.005273,0.01043,0.01375,0.0001092,0.0001986,0.03795,0.08021,0.001445,0.002566,0.7893,0.8098,0.1854,0.2515,28.69,38.74,0.08902,0.1622,FALSE,0
950,2.259,0.04293,0.3006,0.003118,0.09074,0.2975,0.01718,0.0239,7.069,0.0105,16.48,0.06849,7.256,0.0411,0.2715,18.28,0.02519,0.03067,798.6,0.01042,0.7531,0.08941,2.727,2.398,0.05437,2.033,0.1707,0.07208,1,0,0,533.8,0.01035,0.04471,0.08716,0.1578,0.0002161,0.0004295,0.01558,0.0598,0.01261,0.03922,0.005371,0.009751,0.004605,0.01292,0.7091,0.8484,0.01847,0.0434,1.061,1.87,0.3447,1.051,FALSE,0
951,79.42,0.7387,1.009,0.005759,0.5832,4.468,0.4974,0.02864,0.02827,20.16,0.003502,0.01307,35.02,0.02833,0.01137,0.06742,0.02072,0.03338,0.1673,6.921,1.781,0.3225,2.464,5.694,0.702,0.2074,0.3329,0.05962,1,0,0,42.9,0.003688,0.02811,0.004546,0.04675,0.00983,0.03175,5.98E-05,0.0003005,0.03646,0.1051,0.0006838,0.003986,0.0001533,0.0005491,0.7952,0.9403,0.03054,0.08968,3.624,8.164,1.716,8.681,FALSE,0
952,4.159,0.7652,3.424,0.05754,0.02159,2.853,2.273,0.007993,0.0107,84.49,0.162,0.005416,0.02477,83.89,0.02883,0.02912,7.215,0.02659,2.323,21.33,0.4991,5.135,0.124,10.13,1.778,0.3187,1.126,0.7172,1,0,0,36.4,0.004731,0.4032,0.01514,0.6981,6.86E-05,0.005978,0.001846,0.1972,5.31E-05,0.0006754,6.57E-08,0.001191,0.08303,0.9224,1.06E-05,0.04974,0.2282,11.43,1.406,38.07,0.02324,10.41,TRUE,3
953,3.424,0.9426,1.182,0.007545,0.953,528.2,8.188,78.85,0.01225,69.87,0.004326,0.2971,3.478,12.03,0.3271,0.001169,0.004081,81.15,0.1385,836.6,8.37,0.3582,4.525,0.1113,0.05481,2.97,17.4,11.31,1,0,0,61.3,0.2468,0.8912,0.0009687,0.09512,0.01364,0.3832,1.16E-06,0.0001157,0.06431,0.6865,1.33E-07,1.41E-06,2.50E-10,3.04E-06,5.84E-11,5.35E-08,3.882,54.38,15.5,181.5,0.4336,59.44,FALSE,1
954,0.01818,0.2853,0.2275,0.06877,0.07433,4.757,1.4,0.05424,0.8395,77.81,4.549,79.83,0.04018,0.02461,0.01515,0.1756,10.19,1.636,0.01766,1.231,0.3492,2.046,1.235,0.1865,10.18,0.1574,0.05623,0.1038,1,0,0,121.3,0.04279,0.2844,1.89E-05,0.0001526,0.01517,0.2428,0.01702,0.1682,8.11E-07,1.59E-06,0.4907,0.8567,2.33E-05,0.004709,4.10E-05,0.001745,10.62,77.73,0.7546,4.444,0.01061,0.3014,FALSE,0
